ID,g_ath
PAF,F
PLF,F
PAC,M
PACC,M
RDM,M
ELF,F
ECF,F
EDR,M
ECC,M
ELC,M
PCH,H
PCTH,H
PAH,H
DR1,M
DR2,F
PD1,M
PD2,M
PLH,H
PAD,M
BI,H
BH,H
BAH,H
BAP,F
BSF,F
BIR1,M
BIR2,M
BHR,H
BIF,F
BFR,F
BMF,F
BMH,H
